,Mutualism,time_point,Strain,Mutualist,Experimental_plate,Control_OD,Culture_ID,OD_filtrate,OD_teststrain,growth_int,corrected_OD,OD_scaled,c_OD_scaled,ln_cOD,exp
127,facultative,2,1063,AdeOP,4,,5B,14.13,0.692,504.2916522,0.001372222,-0.918553462,-1.401811743,-0.524847997,-0.408354711
128,facultative,2,1063,AdeOP,4,,5H,16.05,0.966,568.1302504,0.001700314,0.197939424,-0.53760603,-0.310466381,-0.26689503
129,facultative,2,1063,AdeOP,4,,6C,14.34,0.93,511.3016766,0.001818887,0.051246928,-0.225281826,-0.243054545,-0.215771263
130,facultative,2,1063,AdeOP,4,,6F,14.31,1.114,510.3006773,0.002183027,0.801008574,0.733873108,-0.060566875,-0.058769178
131,facultative,10,1063,AdeOP,4,,5B,11.28,0.45,408.4012345,0.001101858,-1.904653018,-2.113959338,-0.744281475,-0.524924469
132,facultative,10,1063,AdeOP,4,,5H,14.7,0.93,523.3025632,0.001777175,0.051246928,-0.335153821,-0.266254296,-0.23375575
133,facultative,10,1063,AdeOP,4,,6C,13.77,0.838,492.2578106,0.00170236,-0.323633895,-0.53221768,-0.309263797,-0.266012879
134,facultative,8,1063,AdeOP,4,,5B,10.86,0.356,394.1397325,0.000903233,-2.287683425,-2.637142663,-0.943054051,-0.610563342
135,facultative,8,1063,AdeOP,4,,5H,15.48,1.398,549.2359882,0.002545354,1.958249376,1.68825421,0.092990416,0.097451217
136,facultative,8,1063,AdeOP,4,,6C,14.67,0.76,522.3032659,0.001455093,-0.641467636,-1.1835256,-0.466209505,-0.372624168
137,facultative,8,1063,AdeOP,4,,6F,12.24,0.72,440.8667547,0.001633147,-0.804459299,-0.714528103,-0.350770493,-0.295854658
138,facultative,4,1063,AdeOP,4,,5B,13.89,0.668,496.271454,0.001346038,-1.016348459,-1.470781928,-0.544113858,-0.419644167
139,facultative,4,1063,AdeOP,4,,5H,18.63,1.284,653.0952302,0.001966023,1.493723139,0.162277768,-0.1652666,-0.152332314
140,facultative,4,1063,AdeOP,4,,6C,17.13,1.382,603.8042908,0.002288821,1.893052711,1.012538803,-0.013242483,-0.013155187
141,facultative,4,1063,AdeOP,4,,6F,17.58,1.39,618.6219532,0.00224693,1.925651043,0.902195412,-0.031714481,-0.031216851
142,facultative,0,1069,AdeOP,4,,Ancestral,16.89,1.49,595.8905336,0.002500459,2.333130199,1.570000176,,
143,facultative,0,1063,AdeOP,4,,Ancestral,16.38,1.364,579.0477768,0.002355591,1.819706463,1.188413985,,
144,facultative,0,1063,AdeOP,4,,Ancestral,16.89,1.328,595.8905336,0.002228597,1.673013967,0.853907328,,
145,facultative,0,1069,AdeOP,4,,Ancestral,15.99,1.464,566.1435886,0.002585916,2.227185618,1.795096949,,
146,facultative,0,1069,AdeOP,4,,Ancestral,16.74,1.458,590.9404838,0.002467254,2.202736869,1.482535303,,
147,facultative,0,1063,AdeOP,4,,Ancestral,17.13,1.344,603.8042908,0.002225887,1.738210632,0.846767936,,
148,facultative,0,1063,AdeOP,4,,Ancestral,16.71,1.304,589.9501061,0.002210356,1.57521897,0.805860424,,
149,facultative,0,1069,AdeOP,4,,Ancestral,16.44,1.492,581.0311399,0.002567849,2.341279782,1.747505771,,
150,facultative,2,1069,AdeOP,5,0.188,5D,14.67,0.912,522.3032659,0.001746112,-0.02209932,-0.416973542,-0.09233072,-0.088196452
151,facultative,2,1069,AdeOP,5,0.202,6B,13.92,0.894,497.2744938,0.0017978,-0.095445568,-0.28082622,-0.063158627,-0.061205456
152,facultative,2,1069,AdeOP,5,,6H,9.99,0.832,364.4782152,0.002282715,-0.348082644,0.996455956,0.175643202,0.192012675
153,facultative,4,1069,AdeOP,5,,5D,15.81,0.964,560.1805079,0.001720874,0.189789841,-0.483451539,-0.106890021,-0.101375503
154,facultative,4,1069,AdeOP,5,,5G,13.95,0.778,498.2773858,0.001561379,-0.568121388,-0.903565094,-0.204152917,-0.184662317
155,facultative,4,1069,AdeOP,5,,6B,15.96,0.956,565.1500648,0.001691586,0.157191508,-0.560596399,-0.124055772,-0.116669426
156,facultative,4,1069,AdeOP,5,,6H,14.7,1.162,523.3025632,0.002220513,0.996598569,0.832612458,0.148015928,0.159531365
157,facultative,8,1069,AdeOP,5,,5D,15.57,1.05,552.2224376,0.001901408,0.540221915,-0.007919899,-0.007127658,-0.007102316
158,facultative,8,1069,AdeOP,5,,5G,11.04,0.564,400.256269,0.001409097,-1.440126781,-1.30468074,-0.306773249,-0.264182571
159,facultative,8,1069,AdeOP,5,,6B,11.67,0.584,421.6120168,0.00138516,-1.35863095,-1.367732767,-0.323906666,-0.276682251
