Mutualism,Mutualist,time_point,Experimental_plate,Control,Culture_ID,Strain,OD_teststrain,OD_filtrate,corrected_OD,OD_scaled,c_OD_scaled,ln_cOD,exp
obligate,LysOP,8,1,,47,1039,0.822,16.38,0.05018315,-0.154749406,-0.150039478,0.299368343,0.349006429
obligate,LysOP,8,1,,48,1039,0.638,16.98,0.037573616,-0.698605551,-0.680403689,0.009991129,0.010041207
obligate,LysOP,0,1,,Ancestral,1051,0.696,17.61,0.039522998,-0.527172636,-0.598411557,,
obligate,LysOP,0,1,,Ancestral,1039,0.704,19.53,0.036047107,-0.503526716,-0.74460953,,
obligate,LysOP,10,2,,39,1051,1.653,20.85,0.079280576,2.301470468,1.073814856,0.38612283,0.471265375
obligate,LysOP,10,2,,41,1051,1.758,20.25,0.086814815,2.61182316,1.390709265,0.476906965,0.61108355
obligate,LysOP,10,2,,47,1051,1.179,18.42,0.064006515,0.900449746,0.431379129,0.17211455,0.18781389
obligate,LysOP,15,2,,39,1051,0.879,17.94,0.048996656,0.01372777,-0.199944122,-0.095118279,-0.090734619
obligate,LysOP,15,2,,41,1051,0.798,10.35,0.077101449,-0.225687164,0.982159561,0.358251758,0.430825797
obligate,LysOP,15,2,,47,1051,1.125,16.14,0.069702602,0.74083979,0.670959827,0.257367332,0.293520191
obligate,LysOP,0,2,,Ancestral,1051,1.182,20.13,0.058718331,0.909316966,0.208955097,,
obligate,LysOP,10,2,,46,1039,1.32,15.03,0.087824351,1.317209075,1.433170946,0.578293854,0.782993786
obligate,LysOP,10,2,,47,1039,1.098,13.26,0.08280543,0.661034812,1.222072243,0.519448679,0.681100568
obligate,LysOP,10,2,,48,1039,0.96,17.49,0.054888508,0.253142703,0.047870548,0.108259037,0.114336362
obligate,LysOP,15,2,,46,1039,1.539,15.54,0.099034749,1.964516117,1.90468668,0.698425831,1.010585214
obligate,LysOP,15,2,,47,1039,1.458,15.54,0.093822394,1.725101184,1.685452041,0.64435861,0.90476494
obligate,LysOP,15,2,,48,1039,0.894,9.6,0.093125,0.058063869,1.656119259,0.636897719,0.890606579
obligate,LysOP,0,2,,Ancestral,1039,0.819,17.22,0.047560976,-0.163616625,-0.260329639,,
obligate,LysOP,15,2,,39,1051,0.816,17.97,0.045409015,-0.172483845,-0.350842331,-0.171159666,-0.157312986
obligate,LysOP,15,2,,41,1051,0.888,9.99,0.088888889,0.040329429,1.477946005,0.50051683,0.6495736
obligate,LysOP,15,2,,47,1051,0.978,15.51,0.063056093,0.306346022,0.391403845,0.157154373,0.170176244
obligate,LysOP,15,2,,46,1039,1.455,15.48,0.093992248,1.716233964,1.692596208,0.646167353,0.908213288
obligate,LysOP,15,2,,47,1039,1.197,15,0.0798,0.953653064,1.095662146,0.482478546,0.620084885
obligate,LysOP,15,2,,48,1039,0.9,9.54,0.094339623,0.075798308,1.707206981,0.64985632,0.915265624
obligate,LysOP,0,2,,Ancestral,1051,0.933,19.02,0.049053628,0.173337726,-0.197547837,,
obligate,LysOP,0,2,,Ancestral,1039,0.963,18.9,0.050952381,0.262009923,-0.117685193,,
facultative,LysOP,2,1,0.238,5D,1051,0.638,13.83,0.046131598,-0.307773463,-0.193456072,-0.0250305,-0.024719834
facultative,LysOP,2,1,,5G,1051,0.652,14.1,0.046241135,-0.250425746,-0.186194858,-0.022658873,-0.022404089
facultative,LysOP,2,1,,6B,1051,0.628,13.71,0.045805981,-0.348736118,-0.21504128,-0.032113965,-0.031603787
facultative,LysOP,2,1,,6H,1051,0.686,13.41,0.051155854,-0.111152718,0.139602795,0.078348293,0.081499272
facultative,LysOP,4,1,,5D,1051,0.642,13.29,0.048306998,-0.291388401,-0.049248412,0.021047793,0.02127086
facultative,LysOP,4,1,,5G,1051,0.478,13.83,0.034562545,-0.963175946,-0.960370757,-0.313758051,-0.269304202
facultative,LysOP,4,1,,6B,1051,0.588,16.53,0.035571688,-0.512586739,-0.893474501,-0.284978601,-0.247969653
facultative,LysOP,4,1,,6H,1051,0.71,13.62,0.052129222,-0.012842346,0.204127535,0.097197032,0.102077497
facultative,LysOP,8,1,,5D,1051,1.072,16.32,0.065686275,1.470005772,1.102827114,0.328361355,0.388690692
facultative,LysOP,8,1,,5G,1051,1.014,14.28,0.071008403,1.232422372,1.455632037,0.40626959,0.501207208
facultative,LysOP,8,1,,6B,1051,0.852,17.73,0.048054146,0.568827358,-0.066010033,0.015799769,0.015925245
facultative,LysOP,8,1,,6H,1051,0.524,13.05,0.040153257,-0.774747732,-0.589761439,-0.163825087,-0.151109509
facultative,LysOP,10,1,,5D,1051,1.048,16.86,0.062158956,1.371695399,0.869000514,0.273166275,0.314118732
